DES,T/K,V/cP,MCI,Avg Molar, omega
DES45,309.35,0.061,0.062831104,177.72,8.4242
DES38,322.45,0.144,0.152441017,149.67,4.3893
DES45,315.55,0.046,0.048724236,177.72,8.4242
DES45,320.15,0.037,0.040939586,177.72,8.4242
DES14,308.65,0.051,0.050550454,148.07,5.7999
DES45,293.05,0.142,0.140679542,177.72,8.4242
DES15,294.65,0.105,0.103501297,148.49,7.0204
DES41,320.95,0.085,0.085565661,236.27,3.542
DES11,301.65,0.062,0.064054829,144.91,2.1383
DES25,311.65,0.3983,0.314201817,134.52,6.6294
DES15,310.95,0.048,0.047496612,148.49,7.0204
DES27,315.55,0.213,0.194170622,218.5,5.6241
DES14,293.85,0.104,0.103858981,148.07,5.7999
DES43,321.65,0.044,0.047540453,193.22,5.9831
DES12,301.65,0.064,0.065746078,146.7,3.3588
DES35,309.35,0.0477,0.046834514,103.72,4.329
DES29,321.65,0.126,0.115286793,191.58,8.0651
DES7,317.05,0.097,0.099613168,107.78,2.2963
DES40,297.75,0.462,0.454956517,207.24,5.7679
DES12,315.55,0.036,0.036327855,146.7,3.3588
DES6,295.65,0.403,0.38136125,115.87,1.607
DES38,305.55,0.422,0.408227858,149.67,4.3893
DES8,313.25,0.101,0.103569079,103.98,2.9856
DES30,297.05,0.403,0.389739532,183.3,9.2857
DES25,318.65,0.2822,0.207351455,134.52,6.6294
DES20,302.45,0.1022,0.101712221,109.3,5.1905
DES42,300.95,0.143,0.142706849,207.0,4.7626
DES37,310.95,0.348,0.334869314,138.15,3.7
DES6,317.75,0.122,0.100142955,115.87,1.607
DES15,314.75,0.041,0.04072118,148.49,7.0204
DES3,310.95,0.0229,0.021788379,81.46,2.1223
DES23,302.45,0.8484,0.795406482,158.39,5.2508
DES29,297.85,0.44,0.428165021,191.58,8.0651
DES30,310.95,0.181,0.169695777,183.3,9.2857
DES19,301.65,0.1017,0.102264341,121.1,4.789
DES38,317.85,0.187,0.193448817,149.67,4.3893
DES25,307.05,0.5143,0.426860148,134.52,6.6294
DES24,305.55,0.4858,0.47394539,145.13,5.9401
DES18,315.55,0.0448,0.05254365,135.86,4.3875
DES7,307.05,0.169,0.171346798,107.78,2.2963
DES45,307.05,0.069,0.069489776,177.72,8.4242
DES9,297.85,0.229,0.225597253,101.61,3.6749
DES38,299.35,0.683,0.643627795,149.67,4.3893
DES35,303.95,0.0618,0.06020611,103.72,4.329
DES17,315.55,0.0525,0.061025574,159.48,3.986
DES32,319.35,0.0487,0.047551064,147.97,3.1245
DES38,320.15,0.163,0.171316213,149.67,4.3893
DES11,310.95,0.041,0.042525636,144.91,2.1383
DES37,318.65,0.212,0.215039266,138.15,3.7
DES20,308.65,0.0738,0.073821339,109.3,5.1905
